x,y,Ma,rho,u,v,p,T
8.660249,0.000000,1.999999,1.230001,678.112937,-0.000000,101000.149833,286.100121
8.660249,1.000000,2.000000,1.230000,678.113055,0.000211,101000.050767,286.100041
8.660249,2.000000,1.999999,1.230001,678.113009,0.000149,101000.089628,286.100073
8.660249,3.000000,2.000000,1.230001,678.113030,0.000161,101000.072067,286.100058
8.660249,4.000000,2.000000,1.230000,678.113053,0.000106,101000.052441,286.100042
8.660249,5.000000,2.000000,1.230000,678.113086,0.000052,101000.024892,286.100020
8.660249,6.000000,2.000000,1.230000,678.113106,0.000017,101000.008130,286.100007
8.660249,7.000000,2.000000,1.230000,678.113114,0.000004,101000.001692,286.100001
8.660249,8.000000,2.000000,1.230000,678.113116,0.000000,101000.000205,286.100000
8.660249,9.000000,2.000000,1.230000,678.113116,0.000000,101000.000011,286.100000
8.660249,10.000000,2.000000,1.230000,678.113116,-0.000000,101000.000000,286.100000
8.660249,11.000000,2.000000,1.230000,678.113116,0.000000,101000.000000,286.100000
8.660249,12.000000,2.000000,1.230000,678.113116,0.000000,101000.000000,286.100000
8.660249,13.000000,2.000000,1.230000,678.113116,0.000000,101000.000000,286.100000
8.660249,14.000000,2.000000,1.230000,678.113116,0.000000,101000.000000,286.100000
8.660249,15.000000,2.000000,1.230000,678.113116,0.000000,101000.000000,286.100000
8.660249,16.000000,2.000000,1.230000,678.113116,0.000000,101000.000000,286.100000
8.660249,17.000000,2.000000,1.230000,678.113116,0.000000,101000.000000,286.100000
8.660249,18.000000,2.000000,1.230000,678.113116,0.000000,101000.000000,286.100000
8.660249,19.000000,2.000000,1.230000,678.113116,0.000000,101000.000000,286.100000
8.660249,20.000000,2.000000,1.230000,678.113116,0.000000,101000.000000,286.100000
8.660249,21.000000,2.000000,1.230000,678.113116,0.000000,101000.000000,286.100000
8.660249,22.000000,2.000000,1.230000,678.113116,0.000000,101000.000000,286.100000
8.660249,23.000000,2.000000,1.230000,678.113116,0.000000,101000.000000,286.100000
8.660249,24.000000,2.000000,1.230000,678.113116,0.000000,101000.000000,286.100000
8.660249,25.000000,2.000000,1.230000,678.113116,0.000000,101000.000000,286.100000
8.660249,26.000000,2.000000,1.230000,678.113116,0.000000,101000.000000,286.100000
8.660249,27.000000,2.000000,1.230000,678.113116,0.000000,101000.000000,286.100000
8.660249,28.000000,2.000000,1.230000,678.113116,0.000000,101000.000000,286.100000
8.660249,29.000000,2.000000,1.230000,678.113116,0.000000,101000.000000,286.100000
8.660249,30.000000,2.000000,1.230000,678.113116,0.000000,101000.000000,286.100000
8.660249,31.000000,2.000000,1.230000,678.113116,0.000000,101000.000000,286.100000
8.660249,32.000000,2.000000,1.230000,678.113116,0.000000,101000.000000,286.100000
8.660249,33.000000,2.000000,1.230000,678.113116,0.000000,101000.000000,286.100000
8.660249,34.000000,2.000000,1.230000,678.113116,0.000000,101000.000000,286.100000
8.660249,35.000000,2.000000,1.230000,678.113116,0.000000,101000.000000,286.100000
8.660249,36.000000,2.000000,1.230000,678.113116,0.000000,101000.000000,286.100000
8.660249,37.000000,2.000000,1.230000,678.113116,0.000000,101000.000000,286.100000
8.660249,38.000000,2.000000,1.230000,678.113116,0.000000,101000.000000,286.100000
8.660249,39.000000,2.000000,1.230000,678.113116,0.000000,101000.000000,286.100000
8.660249,40.000000,2.000000,1.230000,678.113116,0.000000,101000.000000,286.100000
