x,y,Ma,rho,u,v,p,T
61.115750,-4.714847,2.181514,0.976031,707.214551,-66.253736,73912.361457,263.848690
61.115750,-3.596976,2.189389,0.979428,708.518460,-66.382624,73908.938662,262.921358
61.115750,-2.479105,2.197179,0.982865,709.802523,-66.500274,73910.364823,262.007083
61.115750,-1.361233,2.198796,0.983831,710.073220,-66.471107,73929.540613,261.817704
61.115750,-0.243362,2.199278,0.983990,710.151280,-66.489781,73925.504270,261.761287
61.115750,0.874509,2.199967,0.983535,710.249437,-66.658348,73868.588985,261.680719
61.115750,1.992380,2.200188,0.983456,710.282222,-66.698245,73855.422290,261.654890
61.115750,3.110251,2.199206,0.984635,710.152640,-66.346756,73976.428342,261.769782
61.115750,4.228122,2.198335,0.985663,710.037161,-66.039084,74082.445340,261.871687
61.115750,5.345994,2.199690,0.984212,710.219709,-66.486791,73928.624027,261.713107
61.115750,6.463865,2.202542,0.981117,710.601580,-67.439569,73602.198681,261.379535
61.115750,7.581736,2.202980,0.980660,710.660420,-67.582177,73553.469084,261.328326
61.115750,8.699607,2.198800,0.985249,710.101421,-66.175082,74035.966701,261.817313
61.115750,9.817478,2.193378,0.991278,709.370601,-64.340838,74669.785162,262.452818
61.115750,10.935349,2.192831,0.991890,709.296568,-64.155225,74734.153544,262.516966
61.115750,12.053221,2.199895,0.984022,710.247819,-66.548847,73907.541366,261.689123
61.115750,13.171092,2.210867,0.972052,711.702394,-70.240216,72651.172850,260.408300
61.115750,14.288963,2.218568,0.963808,712.706449,-72.816187,71787.340345,259.513016
61.115750,15.406834,2.218337,0.964049,712.676476,-72.739727,71812.747649,259.539821
61.115750,16.524705,2.209942,0.973039,711.580605,-69.932201,72755.023739,260.516069
61.115750,17.642577,2.195518,0.988739,709.656953,-65.098543,74407.334379,262.201748
61.115750,18.760448,2.177413,1.008867,707.167167,-59.023900,76539.101169,264.332871
61.115750,19.878319,2.157379,1.031659,704.312972,-52.302142,78972.312086,266.710554
61.115750,20.996190,2.136582,1.055894,701.237857,-45.330419,81582.067771,269.200702
61.115750,22.114061,2.115799,1.080696,698.049330,-38.374911,84277.095808,271.711247
61.115750,23.231932,2.095605,1.105362,694.839429,-31.631318,86981.231863,274.171646
61.115750,24.349804,2.076496,1.129230,691.699224,-25.265308,89620.217706,276.519103
61.115750,25.467675,2.058944,1.151611,688.726399,-19.433759,92114.476956,278.691458
61.115750,26.585546,2.043413,1.171788,686.024466,-14.287493,94379.217636,280.626688
61.115750,27.703417,2.030304,1.189091,683.691575,-9.955778,96333.465896,282.269439
61.115750,28.821288,2.019874,1.203035,681.800800,-6.518118,97916.609801,283.582715
61.115750,29.939159,2.012143,1.213468,680.379496,-3.976386,99106.021648,284.559655
61.115750,31.057031,2.006863,1.220637,679.399136,-2.244473,99925.880532,285.228543
61.115750,32.174902,2.003569,1.225125,678.783659,-1.166252,100440.215753,285.646449
61.115750,33.292773,2.001704,1.227672,678.433620,-0.556289,100732.536280,285.883439
61.115750,34.410644,2.000746,1.228981,678.253505,-0.243394,100882.873269,286.005192
61.115750,35.528515,2.000300,1.229591,678.169532,-0.097754,100952.939098,286.061910
61.115750,36.646386,2.000111,1.229849,678.133952,-0.036095,100982.620167,286.085934
61.115750,37.764258,2.000038,1.229949,678.120194,-0.012259,100994.096711,286.095222
61.115750,38.882129,2.000012,1.229983,678.115410,-0.003974,100998.086429,286.098451
61.115750,40.000000,2.000000,1.230000,678.113116,0.000000,101000.000000,286.100000
