x,y,Ma,rho/rho1,p/p1,T/T1
1.732050,10.000000,2.000000,1.000000,1.000000,1.000000
1.732050,11.000000,2.000000,1.000000,1.000000,1.000000
1.732050,12.000000,2.000000,1.000000,1.000000,1.000000
1.732050,13.000000,2.000000,1.000000,1.000000,1.000000
1.732050,14.000000,2.000000,1.000000,1.000000,1.000000
1.732050,15.000000,2.000000,1.000000,1.000000,1.000000
1.732050,16.000000,2.000000,1.000000,1.000000,1.000000
1.732050,17.000000,2.000000,1.000000,1.000000,1.000000
1.732050,18.000000,2.000000,1.000000,1.000000,1.000000
1.732050,19.000000,2.000000,1.000000,1.000000,1.000000
1.732050,20.000000,2.000000,1.000000,1.000000,1.000000
1.732050,21.000000,2.000000,1.000000,1.000000,1.000000
1.732050,22.000000,2.000000,1.000000,1.000000,1.000000
1.732050,23.000000,2.000000,1.000000,1.000000,1.000000
1.732050,24.000000,2.000000,1.000000,1.000000,1.000000
1.732050,25.000000,2.000000,1.000000,1.000000,1.000000
1.732050,26.000000,2.000000,1.000000,1.000000,1.000000
1.732050,27.000000,2.000000,1.000000,1.000000,1.000000
1.732050,28.000000,2.000000,1.000000,1.000000,1.000000
1.732050,29.000000,2.000000,1.000000,1.000000,1.000000
1.732050,30.000000,2.000000,1.000000,1.000000,1.000000
1.732050,31.000000,2.000000,1.000000,1.000000,1.000000
1.732050,32.000000,2.000000,1.000000,1.000000,1.000000
1.732050,33.000000,2.000000,1.000000,1.000000,1.000000
1.732050,34.000000,2.000000,1.000000,1.000000,1.000000
1.732050,35.000000,2.000000,1.000000,1.000000,1.000000
1.732050,36.000000,2.000000,1.000000,1.000000,1.000000
1.732050,37.000000,2.000000,1.000000,1.000000,1.000000
1.732050,38.000000,2.000000,1.000000,1.000000,1.000000
1.732050,39.000000,2.000000,1.000000,1.000000,1.000000
1.732050,40.000000,2.000000,1.000000,1.000000,1.000000
2.598075,0.000000,1.999999,1.000001,1.000001,1.000000
2.598075,1.000000,2.000000,1.000000,1.000000,1.000000
2.598075,2.000000,2.000000,1.000000,1.000000,1.000000
2.598075,3.000000,2.000000,1.000000,1.000000,1.000000
2.598075,4.000000,2.000000,1.000000,1.000000,1.000000
2.598075,5.000000,2.000000,1.000000,1.000000,1.000000
2.598075,6.000000,2.000000,1.000000,1.000000,1.000000
2.598075,7.000000,2.000000,1.000000,1.000000,1.000000
2.598075,8.000000,2.000000,1.000000,1.000000,1.000000
2.598075,9.000000,2.000000,1.000000,1.000000,1.000000
2.598075,10.000000,2.000000,1.000000,1.000000,1.000000
2.598075,11.000000,2.000000,1.000000,1.000000,1.000000
2.598075,12.000000,2.000000,1.000000,1.000000,1.000000
2.598075,13.000000,2.000000,1.000000,1.000000,1.000000
2.598075,14.000000,2.000000,1.000000,1.000000,1.000000
2.598075,15.000000,2.000000,1.000000,1.000000,1.000000
2.598075,16.000000,2.000000,1.000000,1.000000,1.000000
2.598075,17.000000,2.000000,1.000000,1.000000,1.000000
2.598075,18.000000,2.000000,1.000000,1.000000,1.000000
2.598075,19.000000,2.000000,1.000000,1.000000,1.000000
2.598075,20.000000,2.000000,1.000000,1.000000,1.000000
2.598075,21.000000,2.000000,1.000000,1.000000,1.000000
2.598075,22.000000,2.000000,1.000000,1.000000,1.000000
2.598075,23.000000,2.000000,1.000000,1.000000,1.000000
2.598075,24.000000,2.000000,1.000000,1.000000,1.000000
2.598075,25.000000,2.000000,1.000000,1.000000,1.000000
2.598075,26.000000,2.000000,1.000000,1.000000,1.000000
2.598075,27.000000,2.000000,1.000000,1.000000,1.000000
2.598075,28.000000,2.000000,1.000000,1.000000,1.000000
2.598075,29.000000,2.000000,1.000000,1.000000,1.000000
2.598075,30.000000,2.000000,1.000000,1.000000,1.000000
2.598075,31.000000,2.000000,1.000000,1.000000,1.000000
2.598075,32.000000,2.000000,1.000000,1.000000,1.000000
2.598075,33.000000,2.000000,1.000000,1.000000,1.000000
2.598075,34.000000,2.000000,1.000000,1.000000,1.000000
2.598075,35.000000,2.000000,1.000000,1.000000,1.000000
2.598075,36.000000,2.000000,1.000000,1.000000,1.000000
2.598075,37.000000,2.000000,1.000000,1.000000,1.000000
2.598075,38.000000,2.000000,1.000000,1.000000,1.000000
2.598075,39.000000,2.000000,1.000000,1.000000,1.000000
2.598075,40.000000,2.000000,1.000000,1.000000,1.000000
3.464100,0.000000,1.999999,1.000001,1.000001,1.000000
3.464100,1.000000,2.000000,1.000000,1.000000,1.000000
3.464100,2.000000,2.000000,1.000000,1.000000,1.000000
3.464100,3.000000,2.000000,1.000000,1.000000,1.000000
3.464100,4.000000,2.000000,1.000000,1.000000,1.000000
3.464100,5.000000,2.000000,1.000000,1.000000,1.000000
3.464100,6.000000,2.000000,1.000000,1.000000,1.000000
3.464100,7.000000,2.000000,1.000000,1.000000,1.000000
3.464100,8.000000,2.000000,1.000000,1.000000,1.000000
3.464100,9.000000,2.000000,1.000000,1.000000,1.000000
3.464100,10.000000,2.000000,1.000000,1.000000,1.000000
3.464100,11.000000,2.000000,1.000000,1.000000,1.000000
3.464100,12.000000,2.000000,1.000000,1.000000,1.000000
3.464100,13.000000,2.000000,1.000000,1.000000,1.000000
3.464100,14.000000,2.000000,1.000000,1.000000,1.000000
3.464100,15.000000,2.000000,1.000000,1.000000,1.000000
3.464100,16.000000,2.000000,1.000000,1.000000,1.000000
3.464100,17.000000,2.000000,1.000000,1.000000,1.000000
3.464100,18.000000,2.000000,1.000000,1.000000,1.000000
3.464100,19.000000,2.000000,1.000000,1.000000,1.000000
3.464100,20.000000,2.000000,1.000000,1.000000,1.000000
3.464100,21.000000,2.000000,1.000000,1.000000,1.000000
3.464100,22.000000,2.000000,1.000000,1.000000,1.000000
3.464100,23.000000,2.000000,1.000000,1.000000,1.000000
3.464100,24.000000,2.000000,1.000000,1.000000,1.000000
3.464100,25.000000,2.000000,1.000000,1.000000,1.000000
3.464100,26.000000,2.000000,1.000000,1.000000,1.000000
3.464100,27.000000,2.000000,1.000000,1.000000,1.000000
3.464100,28.000000,2.000000,1.000000,1.000000,1.000000
3.464100,29.000000,2.000000,1.000000,1.000000,1.000000
3.464100,30.000000,2.000000,1.000000,1.000000,1.000000
3.464100,31.000000,2.000000,1.000000,1.000000,1.000000
3.464100,32.000000,2.000000,1.000000,1.000000,1.000000
3.464100,33.000000,2.000000,1.000000,1.000000,1.000000
3.464100,34.000000,2.000000,1.000000,1.000000,1.000000
3.464100,35.000000,2.000000,1.000000,1.000000,1.000000
3.464100,36.000000,2.000000,1.000000,1.000000,1.000000
3.464100,37.000000,2.000000,1.000000,1.000000,1.000000
3.464100,38.000000,2.000000,1.000000,1.000000,1.000000
3.464100,39.000000,2.000000,1.000000,1.000000,1.000000
3.464100,40.000000,2.000000,1.000000,1.000000,1.000000
4.330125,0.000000,1.999999,1.000001,1.000001,1.000000
4.330125,1.000000,2.000000,1.000000,1.000000,1.000000
4.330125,2.000000,2.000000,1.000000,1.000000,1.000000
4.330125,3.000000,2.000000,1.000000,1.000000,1.000000
4.330125,4.000000,2.000000,1.000000,1.000000,1.000000
4.330125,5.000000,2.000000,1.000000,1.000000,1.000000
4.330125,6.000000,2.000000,1.000000,1.000000,1.000000
4.330125,7.000000,2.000000,1.000000,1.000000,1.000000
4.330125,8.000000,2.000000,1.000000,1.000000,1.000000
4.330125,9.000000,2.000000,1.000000,1.000000,1.000000
4.330125,10.000000,2.000000,1.000000,1.000000,1.000000
4.330125,11.000000,2.000000,1.000000,1.000000,1.000000
4.330125,12.000000,2.000000,1.000000,1.000000,1.000000
4.330125,13.000000,2.000000,1.000000,1.000000,1.000000
4.330125,14.000000,2.000000,1.000000,1.000000,1.000000
4.330125,15.000000,2.000000,1.000000,1.000000,1.000000
4.330125,16.000000,2.000000,1.000000,1.000000,1.000000
4.330125,17.000000,2.000000,1.000000,1.000000,1.000000
4.330125,18.000000,2.000000,1.000000,1.000000,1.000000
4.330125,19.000000,2.000000,1.000000,1.000000,1.000000
4.330125,20.000000,2.000000,1.000000,1.000000,1.000000
4.330125,21.000000,2.000000,1.000000,1.000000,1.000000
4.330125,22.000000,2.000000,1.000000,1.000000,1.000000
4.330125,23.000000,2.000000,1.000000,1.000000,1.000000
4.330125,24.000000,2.000000,1.000000,1.000000,1.000000
4.330125,25.000000,2.000000,1.000000,1.000000,1.000000
4.330125,26.000000,2.000000,1.000000,1.000000,1.000000
4.330125,27.000000,2.000000,1.000000,1.000000,1.000000
4.330125,28.000000,2.000000,1.000000,1.000000,1.000000
4.330125,29.000000,2.000000,1.000000,1.000000,1.000000
4.330125,30.000000,2.000000,1.000000,1.000000,1.000000
4.330125,31.000000,2.000000,1.000000,1.000000,1.000000
4.330125,32.000000,2.000000,1.000000,1.000000,1.000000
4.330125,33.000000,2.000000,1.000000,1.000000,1.000000
4.330125,34.000000,2.000000,1.000000,1.000000,1.000000
4.330125,35.000000,2.000000,1.000000,1.000000,1.000000
