x,y,Ma,rho,u,v,p,T
16.068737,-0.501678,2.185485,0.978619,707.873256,-66.315445,73976.890356,263.380662
16.068737,0.510864,2.188420,0.978004,708.325227,-66.719990,73833.452151,263.035279
16.068737,1.523406,2.146734,1.034274,702.616434,-50.666500,79550.062787,267.982447
16.068737,2.535948,2.080137,1.119381,692.263279,-27.554053,88694.350405,276.070379
16.068737,3.548490,2.032375,1.184924,684.059132,-10.907022,95907.440612,282.009334
16.068737,4.561032,2.008869,1.217743,679.772526,-2.933599,99600.034015,284.974162
16.068737,5.573574,2.001436,1.228031,678.383286,-0.470021,100774.002212,285.917476
16.068737,6.586116,2.000113,1.229845,678.134410,-0.036899,100982.232931,286.085625
16.068737,7.598658,2.000002,1.229997,678.113552,-0.000755,100999.636467,286.099706
16.068737,8.611200,2.000000,1.230000,678.113073,0.000075,101000.035883,286.100029
16.068737,9.623741,2.000000,1.230000,678.113095,0.000037,101000.017647,286.100014
16.068737,10.636283,2.000000,1.230000,678.113108,0.000014,101000.006933,286.100006
16.068737,11.648825,2.000000,1.230000,678.113114,0.000005,101000.002178,286.100002
16.068737,12.661367,2.000000,1.230000,678.113116,0.000001,101000.000543,286.100000
16.068737,13.673909,2.000000,1.230000,678.113116,0.000000,101000.000106,286.100000
16.068737,14.686451,2.000000,1.230000,678.113116,0.000000,101000.000016,286.100000
16.068737,15.698993,2.000000,1.230000,678.113116,0.000000,101000.000002,286.100000
16.068737,16.711535,2.000000,1.230000,678.113116,0.000000,101000.000000,286.100000
16.068737,17.724077,2.000000,1.230000,678.113116,0.000000,101000.000000,286.100000
16.068737,18.736619,2.000000,1.230000,678.113116,0.000000,101000.000000,286.100000
16.068737,19.749161,2.000000,1.230000,678.113116,-0.000000,101000.000000,286.100000
16.068737,20.761703,2.000000,1.230000,678.113116,0.000000,101000.000000,286.100000
16.068737,21.774245,2.000000,1.230000,678.113116,0.000000,101000.000000,286.100000
16.068737,22.786787,2.000000,1.230000,678.113116,0.000000,101000.000000,286.100000
16.068737,23.799329,2.000000,1.230000,678.113116,0.000000,101000.000000,286.100000
16.068737,24.811871,2.000000,1.230000,678.113116,0.000000,101000.000000,286.100000
16.068737,25.824413,2.000000,1.230000,678.113116,0.000000,101000.000000,286.100000
16.068737,26.836955,2.000000,1.230000,678.113116,0.000000,101000.000000,286.100000
16.068737,27.849497,2.000000,1.230000,678.113116,0.000000,101000.000000,286.100000
16.068737,28.862039,2.000000,1.230000,678.113116,0.000000,101000.000000,286.100000
16.068737,29.874580,2.000000,1.230000,678.113116,0.000000,101000.000000,286.100000
16.068737,30.887122,2.000000,1.230000,678.113116,0.000000,101000.000000,286.100000
16.068737,31.899664,2.000000,1.230000,678.113116,0.000000,101000.000000,286.100000
16.068737,32.912206,2.000000,1.230000,678.113116,0.000000,101000.000000,286.100000
16.068737,33.924748,2.000000,1.230000,678.113116,0.000000,101000.000000,286.100000
16.068737,34.937290,2.000000,1.230000,678.113116,0.000000,101000.000000,286.100000
16.068737,35.949832,2.000000,1.230000,678.113116,0.000000,101000.000000,286.100000
16.068737,36.962374,2.000000,1.230000,678.113116,0.000000,101000.000000,286.100000
16.068737,37.974916,2.000000,1.230000,678.113116,0.000000,101000.000000,286.100000
16.068737,38.987458,2.000000,1.230000,678.113116,0.000000,101000.000000,286.100000
16.068737,40.000000,2.000000,1.230000,678.113116,0.000000,101000.000000,286.100000
