x,y,Ma,rho,u,v,p,T
53.294966,-3.983383,2.181405,0.975991,707.196493,-66.252044,73912.876355,263.861515
53.294966,-2.883798,2.189170,0.979472,708.484956,-66.351230,73919.417934,262.947062
53.294966,-1.784213,2.197007,0.982823,709.774735,-66.491428,73912.910659,262.027304
53.294966,-0.684629,2.199215,0.983289,710.127596,-66.630078,73874.946360,261.768734
53.294966,0.414956,2.199509,0.983703,710.181524,-66.575199,73896.325738,261.734249
53.294966,1.514540,2.198720,0.984887,710.081914,-66.243173,74011.376910,261.826615
53.294966,2.614125,2.198756,0.985017,710.090062,-66.219765,74019.944862,261.822399
53.294966,3.713709,2.200943,0.982711,710.384909,-66.935636,73774.474135,261.566488
53.294966,4.813294,2.202833,0.980712,710.638472,-67.556195,73562.254377,261.345600
53.294966,5.912878,2.200598,0.983192,710.340740,-66.797754,73822.015631,261.606900
53.294966,7.012463,2.195130,0.989259,709.606260,-64.948041,74459.386730,262.247301
53.294966,8.112048,2.192578,0.992129,709.261331,-64.079152,74760.632374,262.546702
53.294966,9.211632,2.197815,0.986278,709.968049,-65.855804,74145.942019,261.932567
53.294966,10.311217,2.208901,0.974132,711.442814,-69.590760,72870.713106,260.637377
53.294966,11.410801,2.218095,0.964281,712.644465,-72.665230,71837.771579,259.567922
53.294966,12.510386,2.218885,0.963438,712.746690,-72.929222,71749.671670,259.476265
53.294966,13.609970,2.210034,0.972889,711.591538,-69.974366,72740.834504,260.505388
53.294966,14.709555,2.193833,0.990509,709.427108,-64.551999,74596.673388,262.399366
53.294966,15.809140,2.173200,1.013502,706.573638,-57.634405,77035.743082,264.831206
53.294966,16.908724,2.150393,1.039606,703.290809,-49.986404,79829.530491,267.544605
53.294966,18.008309,2.126939,1.067197,699.771217,-42.128751,82811.389922,270.362823
53.294966,19.107893,2.103885,1.095059,696.167696,-34.419138,85852.620815,273.160353
53.294966,20.207478,2.082034,1.122157,692.618819,-27.129072,88839.172324,275.836868
53.294966,21.307062,2.062078,1.147504,689.263088,-20.489249,91657.857550,278.302379
53.294966,22.406647,2.044637,1.170133,686.239631,-14.702631,94194.587086,280.473733
53.294966,23.506232,2.030203,1.189196,683.673207,-9.928025,96346.347714,282.282215
53.294966,24.605816,2.019037,1.204145,681.647744,-6.245562,98043.494696,283.688317
53.294966,25.705401,2.011071,1.214914,680.181211,-3.625870,99271.380916,284.695261
53.294966,26.804985,2.005894,1.221954,679.218378,-1.927477,100076.797995,285.351436
53.294966,27.904570,2.002856,1.226097,678.650018,-0.933202,100551.792171,285.736988
53.294966,29.004154,2.001257,1.228282,678.349677,-0.410406,100802.597306,285.940198
53.294966,30.103739,2.000502,1.229314,678.207666,-0.163879,100921.120241,286.036156
53.294966,31.203323,2.000182,1.229751,678.147445,-0.059476,100971.364157,286.076824
53.294966,32.302908,2.000060,1.229918,678.124459,-0.019649,100990.538604,286.092343
53.294966,33.402493,2.000018,1.229975,678.116533,-0.005918,100997.150319,286.097694
53.294966,34.502077,2.000005,1.229993,678.114055,-0.001627,100999.216711,286.099366
53.294966,35.601662,2.000001,1.229998,678.113352,-0.000408,100999.803415,286.099841
53.294966,36.701246,2.000000,1.230000,678.113170,-0.000094,100999.954961,286.099964
53.294966,37.800831,2.000000,1.230000,678.113127,-0.000020,100999.990593,286.099992
53.294966,38.900415,2.000000,1.230000,678.113118,-0.000004,100999.998192,286.099999
53.294966,40.000000,2.000000,1.230000,678.113116,0.000000,101000.000000,286.100000
