x,y,Ma,rho,u,v,p,T
30.591892,-1.860004,2.180982,0.975860,707.126148,-66.245454,73916.941328,263.911470
30.591892,-0.813503,2.189401,0.978623,708.503832,-66.560758,73847.757008,262.919888
30.591892,0.232997,2.195124,0.984259,709.508725,-65.995432,74083.238496,262.247930
30.591892,1.279497,2.194408,0.988328,709.474972,-65.072307,74413.366220,262.331992
30.591892,2.325997,2.199764,0.983208,710.210819,-66.712390,73850.745261,261.704435
30.591892,3.372497,2.212164,0.970043,711.858849,-70.811128,72458.982372,260.257359
30.591892,4.418997,2.218186,0.963804,712.647382,-72.781635,71799.362619,259.557426
30.591892,5.465497,2.206452,0.976190,711.106629,-68.901403,73104.618542,260.922937
30.591892,6.511997,2.178357,1.006764,707.280095,-59.566207,76347.382567,264.221355
30.591892,7.558497,2.141969,1.048320,702.027789,-47.396518,80802.179906,268.553605
30.591892,8.604997,2.104603,1.093194,696.272059,-34.860448,85678.951173,273.072804
30.591892,9.651497,2.071001,1.135420,690.772527,-23.591171,90332.543829,277.197487
30.591892,10.697998,2.043813,1.170849,686.093212,-14.500913,94286.761611,280.576679
30.591892,11.744498,2.024119,1.197170,682.573698,-7.949095,97255.371569,283.047531
30.591892,12.790998,2.011602,1.214149,680.279385,-3.808731,99185.482995,284.628105
30.591892,13.837498,2.004787,1.223453,679.011515,-1.566746,100248.914881,285.491913
30.591892,14.883998,2.001672,1.227713,678.427711,-0.546344,100737.325577,285.887435
30.591892,15.930498,2.000491,1.229328,678.205619,-0.160359,100922.814865,286.037539
30.591892,16.976998,2.000121,1.229835,678.135893,-0.039460,100980.999881,286.084623
30.591892,18.023498,2.000025,1.229966,678.117796,-0.008106,100996.096826,286.096841
30.591892,19.069998,2.000004,1.229994,678.113912,-0.001378,100999.336446,286.099463
30.591892,20.116498,2.000001,1.229999,678.113226,-0.000190,100999.908495,286.099926
30.591892,21.162998,2.000000,1.230000,678.113128,-0.000020,100999.990348,286.099992
30.591892,22.209498,2.000000,1.230000,678.113117,-0.000001,100999.999415,286.100000
30.591892,23.255999,2.000000,1.230000,678.113116,0.000000,101000.000051,286.100000
30.591892,24.302499,2.000000,1.230000,678.113116,0.000000,101000.000028,286.100000
30.591892,25.348999,2.000000,1.230000,678.113116,0.000000,101000.000007,286.100000
30.591892,26.395499,2.000000,1.230000,678.113116,0.000000,101000.000001,286.100000
30.591892,27.441999,2.000000,1.230000,678.113116,0.000000,101000.000000,286.100000
30.591892,28.488499,2.000000,1.230000,678.113116,0.000000,101000.000000,286.100000
30.591892,29.534999,2.000000,1.230000,678.113116,0.000000,101000.000000,286.100000
30.591892,30.581499,2.000000,1.230000,678.113116,0.000000,101000.000000,286.100000
30.591892,31.627999,2.000000,1.230000,678.113116,-0.000000,101000.000000,286.100000
30.591892,32.674499,2.000000,1.230000,678.113116,-0.000000,101000.000000,286.100000
30.591892,33.720999,2.000000,1.230000,678.113116,-0.000000,101000.000000,286.100000
30.591892,34.767500,2.000000,1.230000,678.113116,-0.000000,101000.000000,286.100000
30.591892,35.814000,2.000000,1.230000,678.113116,-0.000000,101000.000000,286.100000
30.591892,36.860500,2.000000,1.230000,678.113116,-0.000000,101000.000000,286.100000
30.591892,37.907000,2.000000,1.230000,678.113116,-0.000000,101000.000000,286.100000
30.591892,38.953500,2.000000,1.230000,678.113116,-0.000000,101000.000000,286.100000
30.591892,40.000000,2.000000,1.230000,678.113116,0.000000,101000.000000,286.100000
