x,y,Ma,rho,u,v,p,T
38.035113,-2.556155,2.181176,0.975915,707.158471,-66.248482,73914.701914,263.888517
38.035113,-1.492251,2.188687,0.979608,708.411627,-66.275135,73945.707973,263.003800
38.035113,-0.428347,2.197076,0.982304,709.774983,-66.610911,73871.622267,262.019212
38.035113,0.635557,2.200436,0.981776,710.287407,-67.079852,73721.059188,261.625814
38.035113,1.699460,2.199226,0.983929,710.141576,-66.500556,73922.658183,261.767434
38.035113,2.763364,2.194872,0.989082,709.562325,-64.960250,74454.675492,262.277547
38.035113,3.827268,2.194742,0.989388,709.547992,-64.882021,74481.999093,262.292726
38.035113,4.891172,2.203558,0.979693,710.730193,-67.851169,73461.966853,261.260829
38.035113,5.955076,2.215538,0.966822,712.307991,-71.853055,72109.522406,259.864991
38.035113,7.018980,2.219121,0.963050,712.773918,-73.039563,71713.176936,259.448929
38.035113,8.082884,2.208534,0.974270,711.388836,-69.525023,72892.986764,260.680157
38.035113,9.146788,2.186085,0.998678,708.360798,-62.041196,75472.960952,263.310059
38.035113,10.210691,2.156994,1.031473,704.247005,-52.307136,78971.637168,266.756543
38.035113,11.274595,2.125733,1.068120,699.579940,-41.832454,82927.603901,270.508433
38.035113,12.338499,2.095392,1.105071,694.799730,-31.672712,86966.590021,274.197801
38.035113,13.402403,2.068058,1.139533,690.278214,-22.539697,90778.765612,277.561423
38.035113,14.466307,2.045144,1.169282,686.327902,-14.907259,94104.770554,280.410412
38.035113,15.530211,2.027448,1.192777,683.176550,-9.036150,96755.014132,282.628528
38.035113,16.594115,2.015068,1.209465,680.919308,-4.946260,98650.616037,284.189584
38.035113,17.658019,2.007367,1.219938,679.493029,-2.412196,99846.263001,285.164647
38.035113,18.721922,2.003174,1.225662,678.709522,-1.037458,100501.885030,285.696684
38.035113,19.785826,2.001198,1.228362,678.338573,-0.391193,100811.832273,285.947704
38.035113,20.849730,2.000395,1.229460,678.187566,-0.129033,100937.886986,286.049731
38.035113,21.913634,2.000114,1.229844,678.134601,-0.037221,100982.078057,286.085495
38.035113,22.977538,2.000029,1.229961,678.118537,-0.009389,100995.478700,286.096341
38.035113,24.041442,2.000006,1.229991,678.114311,-0.002069,100999.003779,286.099194
38.035113,25.105346,2.000001,1.229998,678.113345,-0.000397,100999.808956,286.099845
38.035113,26.169250,2.000000,1.230000,678.113154,-0.000066,100999.968372,286.099974
38.035113,27.233153,2.000000,1.230000,678.113122,-0.000009,100999.995563,286.099996
38.035113,28.297057,2.000000,1.230000,678.113117,-0.000001,100999.999499,286.100000
38.035113,29.360961,2.000000,1.230000,678.113116,-0.000000,100999.999963,286.100000
38.035113,30.424865,2.000000,1.230000,678.113116,0.000000,101000.000001,286.100000
38.035113,31.488769,2.000000,1.230000,678.113116,0.000000,101000.000001,286.100000
38.035113,32.552673,2.000000,1.230000,678.113116,0.000000,101000.000000,286.100000
38.035113,33.616577,2.000000,1.230000,678.113116,0.000000,101000.000000,286.100000
38.035113,34.680481,2.000000,1.230000,678.113116,0.000000,101000.000000,286.100000
38.035113,35.744384,2.000000,1.230000,678.113116,0.000000,101000.000000,286.100000
38.035113,36.808288,2.000000,1.230000,678.113116,-0.000000,101000.000000,286.100000
38.035113,37.872192,2.000000,1.230000,678.113116,-0.000000,101000.000000,286.100000
38.035113,38.936096,2.000000,1.230000,678.113116,-0.000000,101000.000000,286.100000
38.035113,40.000000,2.000000,1.230000,678.113116,0.000000,101000.000000,286.100000
